Date,Price,Change %
05/31/2024,133.501,0.14%
05/30/2024,133.31,-0.03%
05/29/2024,133.35,0.20%
05/28/2024,133.08,0.05%
05/27/2024,133.01,0.04%
05/24/2024,132.96,-0.15%
05/23/2024,133.162,-0.07%
05/22/2024,133.25,-0.03%
05/21/2024,133.29,-0.08%
05/20/2024,133.397,0.04%
05/17/2024,133.34,-0.19%
05/16/2024,133.6,0.00%
05/15/2024,133.6,-0.01%
05/14/2024,133.62,0.01%
05/13/2024,133.603,0.00%
05/10/2024,133.598,0.00%
05/09/2024,133.6,-0.02%
05/08/2024,133.63,0.00%
05/07/2024,133.63,0.04%
05/06/2024,133.58,0.08%
05/03/2024,133.475,-0.06%
05/02/2024,133.55,-0.53%
05/01/2024,134.266,0.59%
04/30/2024,133.48,-0.05%
04/29/2024,133.55,0.16%
04/26/2024,133.34,0.03%
04/25/2024,133.3,-0.02%
04/24/2024,133.32,-0.02%
04/23/2024,133.35,-0.02%
04/22/2024,133.38,-0.13%
04/19/2024,133.55,-0.08%
04/18/2024,133.66,0.12%
04/17/2024,133.497,-0.12%
04/16/2024,133.66,0.10%
04/15/2024,133.52,0.04%
04/12/2024,133.46,0.04%
04/11/2024,133.403,0.23%
04/10/2024,133.1,0.08%
04/09/2024,132.987,-0.23%
04/08/2024,133.3,0.02%
04/05/2024,133.27,-0.17%
04/04/2024,133.5,0.00%
04/03/2024,133.5,0.06%
04/02/2024,133.42,0.08%
04/01/2024,133.316,-0.04%
03/29/2024,133.368,-0.05%
03/28/2024,133.44,0.03%
03/27/2024,133.4,0.11%
03/26/2024,133.25,-0.11%
03/25/2024,133.39,-0.07%
03/22/2024,133.48,0.33%
03/21/2024,133.04,-0.01%
03/20/2024,133.05,0.14%
03/19/2024,132.86,0.16%
03/18/2024,132.65,0.04%
03/15/2024,132.6,0.07%
03/14/2024,132.51,-0.05%
03/13/2024,132.58,0.11%
03/12/2024,132.43,0.02%
03/11/2024,132.41,0.06%
03/08/2024,132.326,-0.10%
